Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
0,3.0,13.0,1.0,100.0,1.0,0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1,8.0,0.0,77.77777777777779
0,3.0,26.0,2.0,62.03,1.0,0,0.0,5.0,2.0,15.0,0.0,2.0,2.0,7.0,0,43.0,0.0,40.27777777777778
0,8.0,15.0,2.0,93.14,1.0,1,2.0,15.0,1.0,21.0,0.0,8.0,2.0,10.0,49,71.0,0.0,29.7029702970297
0,10.0,11.0,2.0,87.05,2.0,0,9.0,11.0,1.0,33.0,1.0,3.0,4.0,10.0,0,65.0,0.0,30.107526881720432
0,9.0,19.0,1.0,100.0,3.0,0,8.0,13.0,1.0,38.0,0.0,4.0,1.0,18.0,19,115.0,0.0,20.689655172413794
0,2.0,42.0,1.0,100.0,3.0,0,3.0,10.0,1.0,9.0,0.0,5.0,2.0,6.0,11,45.0,0.0,38.35616438356164
0,8.0,14.0,2.0,97.18,2.0,0,2.0,11.0,3.0,12.0,0.0,5.0,3.0,7.0,18,55.0,0.0,43.29896907216495
0,13.0,7.0,5.0,54.05,1.0,0,3.0,14.0,2.0,7.0,3.0,3.0,2.0,3.0,9,46.0,0.0,43.20987654320987
0,14.0,13.0,5.0,28.1,1.5,2,5.0,33.0,1.0,18.0,117.0,19.0,4.0,14.0,5,119.0,0.0,27.878787878787882
0,11.0,14.0,2.0,97.36,2.0,0,10.0,15.0,3.0,35.0,7.0,6.0,2.0,18.0,39,98.0,0.0,23.4375
0,18.0,5.0,3.0,70.14,2.0,7,8.0,7.0,1.0,11.0,2.0,4.0,1.0,10.0,27,51.0,0.0,37.03703703703704
0,2.0,71.0,2.0,98.61,1.0,0,2.0,16.0,1.0,25.0,3.0,6.0,1.0,29.0,0,84.0,0.0,23.636363636363637
0,9.0,6.0,2.0,77.23,1.0,0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2,19.0,0.0,59.57446808510638
0,9.0,7.0,2.0,79.57,1.0,0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,4,25.0,0.0,52.83018867924528
0,9.0,7.0,2.0,76.4,1.0,0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,2,25.0,0.0,52.83018867924528
0,8.0,8.0,2.0,77.45,1.0,0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2,26.0,0.0,51.85185185185185
0,6.0,12.0,3.0,93.1,1.5,0,0.0,7.0,1.0,8.0,0.0,2.0,3.0,8.0,1,30.0,0.0,52.38095238095239
0,2.0,20.0,1.0,100.0,1.0,0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,7.0,0.0,80.0
0,5.0,9.0,4.0,81.13,1.0,0,0.0,4.0,1.0,1.0,0.0,2.0,2.0,1.0,4,18.0,0.0,48.57142857142857
0,15.0,4.0,5.0,72.67,1.0,0,6.0,5.0,1.0,5.0,0.0,1.0,2.0,0.0,1,19.0,0.0,59.57446808510638
0,5.0,9.0,2.0,90.55,1.0,0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5,10.0,0.0,73.68421052631578
0,5.0,21.0,3.0,79.02,1.0,0,5.0,13.0,1.0,16.0,25.0,11.0,1.0,6.0,41,65.0,0.0,24.418604651162788
0,13.0,9.0,5.0,55.51,3.0,2,4.0,14.0,5.0,7.0,28.0,8.0,2.0,3.0,36,75.0,0.0,27.184466019417474
0,3.0,25.0,2.0,91.36,1.0,0,2.0,7.0,1.0,2.0,9.0,7.0,0.0,4.0,0,35.0,0.0,44.44444444444444
